"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1032",0,0,0,0,0,0,0.885,0.885,0.935,0.935,0,0,0,0,0,0,0.96,0.96,0,0,0.954,0.954,0,0,0,0,0.947,0,0,0,0,0,0,1.884,1.884,0,0,0,0
"MMRF_1327",0.142,0.94,0,0,0,0,-0.692,-0.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.984,-0.902,0,0,-0.988,0,0,0.272,0.272,0,0,0,0,0,0
"MMRF_1210",0,0,0.892,0.892,0,0,0.935,0.935,0.973,0.973,0,0,0.951,0.951,0,0,1.922,1.922,0,0,0.94,0.94,0,0,0,0,1.852,-0.107,-0.107,-0.152,-0.152,0,0,1.641,1.641,0.938,0.832,0.913,-0.18
"MMRF_1269",-0.341,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.958,-0.132,0,0,0,-0.114,-0.114,0,0,-0.239,-0.239,0,-0.118,0,-1.057
"MMRF_1328",0,0.95,0,0,0,0,0,0,0.198,0.198,0,0,0,0,-0.769,0.205,0.947,0.947,0,0,0,0,0,0,-0.964,0,0,0,0,0,0,0,0,0,0,0,0,0.969,0
"MMRF_1171",0,0,0,0,0.105,0.105,0,0,0.993,0.993,0,0,0,0,0,0,0.989,0.989,0,0,0.965,0.965,0,0,-0.984,0,1.922,0,0,0,0,0,0,0.845,0.845,0,0,0,-1.03
"MMRF_1354",0,0,0,0,0.952,0.952,0,0,0.956,0.956,0.933,0.933,0.945,0.945,0,0,0.959,0.959,0,0,0,0,-0.709,0,0,0,0.949,0,0,0,0,0,0,0.782,0.15,0,0,0.964,-0.118
"MMRF_1344",0.964,0.964,0.953,0.953,0,0.965,0,0,0.967,0.967,0.884,0,0.949,0.949,0,0,0.96,0.96,0.958,0.958,0,0,0,0,-0.981,0,0.961,0,0,0,0,0.96,0.96,1.853,1.853,0,0,0,0
"MMRF_1403",0.125,0.125,0,0,0,0,-0.1,-0.1,0,0,0,0,0,0,-0.928,-0.928,0.968,1.076,0,0,0,0,0,0,-0.971,0,0,-0.923,-0.923,0,0,1.016,1.016,0,0,0,0,1.075,0
"MMRF_1408",-0.632,-0.632,0,0,0,0,0,0,0,0,0,0,0,0,-0.872,-0.67,0,0,-0.643,-0.643,0,0,-0.633,-0.633,-0.637,-0.646,0.722,-0.654,-0.654,-0.104,-0.104,-0.64,-0.64,0,0,0,0,-0.647,-0.694
"MMRF_1338",0,0,0,0,0,0,0,0,0,0,0,0,0.373,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581,0.581,0,0,0,0,0,0
"MMRF_1342",0,0,0,0,0.932,0.932,0,0,0.894,0.894,0,-0.895,0,0,0,0,1.915,1.915,0,0,1.954,1.954,-0.952,-0.952,0,0,0.988,0,0,-0.968,0,0.927,0,0.988,0.988,0,0,0.881,0
"MMRF_1352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0.616,0,0,0.616,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965,-0.965,0,0,0,0,0,0,0,0,-0.969,-0.962,1.076,0.139,0.139,-0.924,0,0,0,0.144,0.144,0,0,0.973,-0.903
"MMRF_1389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344,-0.344,0,0,-0.382,-0.382,0,-0.386,-0.356,-0.245,-0.245,0,0,0,0,0,0,-0.978,0,0,0
"MMRF_1388",1.031,1.999,0,0,0.986,0.986,-0.989,-0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0,0,0,0,0
"MMRF_1395",0,0,0,0,0.908,0.908,0,0,0.929,0.929,0,0,0.923,0.923,0,0,0.939,0.939,0,0,0.954,0.954,0,0,0,0,1.929,0,0,0,0,0,0,0.976,0.976,0,0,0.923,0
"MMRF_1391",0,0,0,0,1.002,1.002,0,0,0,0,0,0,0,0,0,0,0.994,0,0,0,0,0,-0.928,-0.928,-0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1359",0,0.951,0,0,0,0,0,0,0,0,0,0,0,0,-0.971,0,0,0,-0.471,0,0,0,-0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392,0,0,0.907,0,0,0,0,0,0,-0.972,-0.972,0,0,0,0,0,-0.796,0,0,0,0,0,0,0
"MMRF_1274",0.948,0.948,0.926,0,0,0,0,0,0.919,0.919,0,0,0.996,0.996,-0.941,-0.941,0.928,0.928,0,0,0,0,0,0,-0.943,0,0.926,0,-0.895,0,0,0,0,0.714,0.714,0,0,0,0
"MMRF_1037",-0.13,0,0.924,0.924,0.739,0.739,0.633,0.633,0.969,0.969,0,0,0,0,0,0,0.943,0.943,0,0,1.009,1.553,0,0,0,0,1.58,-0.157,-0.157,-0.22,-0.22,0,0,1.5,1.5,0,0,0,-0.246
"MMRF_1033",0,0,0,0,0,0,0,0,0.888,0.888,0,0,0,0,0,0,0.878,0.878,0,0,0.829,0.829,0,0,0,0,0.78,-0.147,-0.147,-0.172,-0.172,0,0,0.486,0.486,-0.106,-0.106,0.802,-0.263
"MMRF_1031",0.802,0.802,0,0,0.816,0.816,0.702,0.702,0.791,0.791,0.829,0.829,0.79,0.79,-0.875,0,1.684,1.684,-0.106,-0.106,0.819,0.819,0.8,0,-0.874,0,0.908,0,0,0,0,0.805,0.805,1.755,1.755,0,0,0,0
