"","1p36.33 ","1q21.1  ","1q21.3  ","1q22    ","1q44    ","2p14    ","2p13.3  ","2q22.1  ","3p21.31 ","3p21.1  ","3q23    ","3q26.2  ","4q31.3  ","4q35.1  ","5p15.33 ","5q11.2  ","5q31.2  ","5q33.3  ","5q35.3  ","6p24.3  ","6p24.2  ","6p21.33 ","6q21    ","7p21.3  ","7p15.2  ","7q34    ","8q13.1  ","8q24.21 ","9p13.2  ","9q22.2  ","9q34.13 ","10p14   ","10q22.3 ","10q25.2 ","11q13.3 ","11q23.1 ","11q23.3 ","12p13.32","12q24.31","14q11.2 ","14q32.33","15q15.1 ","15q23   ","15q24.2 ","16p13.13","16p11.1 ","17p13.2 ","17p11.2 ","17q22   ","18q23   ","19p13.3 ","19p13.11","20q11.22","20q13.12","20q13.33","21q22.11","22q11.22","22q13.1 ","1p32.3  ","1p22.1  ","1p13.1  ","2p23.3  ","2q31.1  ","2q37.1  ","3q26.32 ","4p16.3  ","4q22.1  ","5q21.1  ","6q25.2  ","7p22.3  ","8p23.2  ","8q24.13 ","8q24.3  ","9p21.3  ","10q24.32","11q22.2 ","12p13.1 ","12q23.3 ","12q24.33","13q12.11","13q14.2 ","14q23.3 ","16p13.3 ","16q12.1 ","16q23.1 ","16q24.3 ","17p13.1 ","17q21.2 ","17q25.3 ","18q12.2 ","20p13   ","22q13.33"
"MMRF_1231",-0.0024148,0.028344,0.028344,0.028344,0.028344,0.013213,0.013213,-0.00020497,0.0061629,0.0061629,0.0114,0,-0.0088526,-0.0088526,-0.0029091,-0.0029091,0.0086369,0.010703,0.010703,0.045849,0.045849,0.014812,-0.010957,-0.068177,-0.00032801,0.010564,0.011958,0.011958,-0.005261,-0.005261,-0.005261,0.033267,0.0088631,0.0086135,-0.023292,-0.0046635,-0.0046635,0.024011,0.022444,0.0076392,0.0076392,0.015369,0.029325,0.029325,0.0012481,0.0012481,-0.0059522,-0.0059522,-0.0024938,-0.01877,-0.03504,-0.03504,0.033831,-0.0099023,-0.0099023,-0.013815,-0.029175,-0.029175,-0.0024148,-0.00088759,-0.00088759,0.013213,0.0052749,0.0052749,0,-0.016429,-0.015462,-0.052159,0.036642,-0.068177,0.011958,0.011958,0.011958,-0.005261,0.02511,-0.0046635,0.024011,0.022444,0.022444,-0.041431,-0.041431,0.0076392,0.0012481,0.0012481,-0.0077137,-0.0077137,-0.0059522,-0.0024938,-0.0024938,0.010146,0.033972,-0.029175
"MMRF_1032",-0.007472,-0.0095426,-0.49934,-0.0055375,0.017544,-0.0094046,-0.0094046,-0.01281,-0.0063964,-0.0063964,-0.38493,-0.020824,0.88086,0.88126,0.95017,0.93482,0.94241,0.023706,0.97688,-0.018778,-0.018778,-0.016979,-0.022881,-0.01904,-0.0026322,0.0072217,0,0,0.96021,0.95567,0.016705,-0.0051227,0.014166,0.014166,0.95365,1.9193,1.9193,-0.93983,0.025812,0.022164,0.014609,0.9361,0.94731,0.94731,0.012097,0.012097,0.0011093,0.0052749,-0.020412,-0.0013847,1.8842,1.8842,0.01447,-0.9174,0.042307,-0.0040162,0.023566,0.0061271,-0.007472,-0.027398,-0.027398,-0.94824,-0.036265,0.017348,-0.037626,0.91723,0.85768,0.86612,-0.96424,-0.01904,-0.026167,0,0,0.90512,0.014166,0.9361,-0.9676,-0.57308,0.025812,-0.013815,-0.020412,-0.011589,-0.9286,0.012097,0.012097,0.012097,0.029184,-0.021098,0.006109,-0.0013847,0.01447,0.0061271
"MMRF_1327",-0.86105,0.9005,0.9399,0.9399,0.91703,0.044756,0.044756,0.047836,0.017124,0.017124,0.013117,0.013117,-0.18333,-0.18333,0.023987,0.023987,0.023987,-0.018353,-0.018353,0.024909,0.024909,0.024909,0.040222,0.032845,0.032845,0.023756,-0.028081,-0.028081,0.035665,0.035665,0.035665,-0.029994,-0.029994,-0.062495,0,0.012795,0.012795,-0.046854,-0.11335,0.075271,-1.0323,0.0084743,0.0084743,0.0084743,-0.02384,0.010285,-0.041702,-0.041702,-0.041702,0.27222,-0.023977,-0.023977,0.0080567,0.0080567,0.0072217,-0.00041585,-0.061823,-0.061823,-0.79836,-0.79836,-0.79836,0.044756,0.046241,0.046241,0.013117,-0.76363,-0.18333,0.023987,-0.023292,0.032845,-0.028081,-0.028081,-0.028081,0.035665,-0.062495,0.012795,-0.046854,-0.042924,-0.11335,-0.98428,-0.98428,-0.99236,-0.02384,-1.0114,-1.0163,-1.0163,-0.041702,-0.041702,-0.041702,0.27222,0.0080567,-0.061823
"MMRF_1210",-0.072216,-0.032255,-0.032255,-0.032255,-0.054766,0.93924,0.93924,1.007,-0.014716,-0.018141,-0.018141,-0.0018796,1.0031,1.0031,0.79953,0.97305,0.97305,0.97305,0.97305,-0.018991,-0.018991,-0.018991,-0.018991,0.93314,0.93314,0.87317,0,0.0049184,1.9224,1.9224,1.6869,-0.064316,-0.091442,-0.08601,0.9399,0.9399,0.86144,-0.024465,-0.042963,-0.010389,-0.068312,1.8518,1.8518,1.8518,-0.14946,-0.10743,-0.15226,-0.15226,-0.11894,-0.032391,1.48,1.48,0.83185,0.83185,0.70827,0.91267,-0.17974,-0.17974,-0.072216,-0.072216,-0.036012,0.93924,1.007,0.94271,-0.0018796,0.93517,1.0031,0.97305,-0.018991,0.93314,-0.066193,0.0049184,-0.085665,1.9224,-0.08601,0.9399,-0.024465,-0.042963,-0.042963,-0.037431,-0.037431,-0.068312,-0.14946,-0.10743,-0.17165,-0.17165,-0.15226,-0.18338,-0.11894,-0.032391,0.93761,-0.17974
"MMRF_1269",-0.049019,1.0304,0.93447,0.93447,0.89929,-0.00013862,-0.00013862,0,0.0086135,0.0086135,0.0034957,0.0034957,0.016286,0.016286,0.00597,0.00597,-0.0038445,-0.0038445,-0.0038445,0.0016642,0.0016642,0.0016642,0.0016642,0.98452,-0.0016629,-0.0033002,0.0087528,0.0087528,0.0030522,0.0030522,0.0030522,-0.01251,-0.010508,-0.010508,0.75757,0.010982,0.010982,-0.00027724,-0.00027724,0.0041632,-0.054068,-0.010922,-0.010922,-0.010922,-0.015054,-0.024114,-0.032041,-0.032041,0.86314,-0.0070653,-0.088507,-0.039801,-0.032178,-0.032178,-0.032178,-0.022469,-0.034768,0.84514,-0.4292,-0.92436,-0.91672,-0.00013862,0,0,0.0034957,0.007061,0.016286,0.00597,0.0016642,-0.068127,-0.0099048,0.0087528,0.0087528,0.0030522,-0.010508,0.010982,-0.00027724,-0.00027724,-0.00027724,-0.0083005,-0.0083005,0.0041632,-0.015054,-0.024114,-0.024114,-0.024114,-0.032041,-0.032041,-0.035993,0.0011093,0.0026357,-0.075345
"MMRF_1251",-0.61479,-0.01873,0.7982,1.7415,1.0122,0.028763,0.028763,0.060936,-0.035993,-0.17632,0.038913,0.038913,0.075128,-0.0010859,-0.37189,0.032563,-0.56346,-0.0123,-0.28154,0.016705,0.016705,0.016006,-0.9676,0.03031,0.03031,-0.019184,0.047126,0.047126,0.018103,0.018103,-0.054835,-0.015333,-0.13484,0.0086135,-0.15605,-0.020176,-0.020176,0.008892,-0.59195,-0.088772,-0.36805,-0.025683,-0.00069303,-0.24153,-0.1173,-0.1173,-0.16421,-0.13497,-0.12263,0.016845,-0.7037,-0.23887,-0.1183,-0.12611,-0.58321,-0.085059,-1.0929,-0.29118,-0.014494,0.062937,0.062937,-0.42046,-0.94952,-0.087447,0.038913,-0.25261,0.080889,0.032352,-0.99882,-0.55707,-0.03245,0.047126,-0.45811,0.018103,-0.038688,-0.020176,0.008892,-0.0052575,-0.6509,-0.9841,-0.9841,-0.13225,-0.46899,-0.1173,-0.13266,-0.60342,-0.13497,-0.12263,-0.49611,-0.43148,0.0015255,-0.42953
"MMRF_1328",-0.034768,0.94997,0.94997,0.94997,1.8632,0.0041632,0.0041632,0.0087528,-0.0018014,-0.0018014,0.011888,0.011888,0.016201,-0.96674,0.19847,0.19847,0.19847,0.19847,0.19847,-0.0090116,-0.0090116,-0.0090116,0.020203,0.0054139,0.0054139,0,0.20503,0.20503,0.014609,-0.0084173,0.90674,-0.017116,-0.017116,-0.034902,-0.0069195,-0.0069195,-0.0069195,1.1558,0.001803,0.00027728,1.0697,-0.0081624,-0.0081624,-0.0081624,-0.054648,-0.033132,-0.035312,-0.035312,-0.035312,-0.0034627,-0.070804,-0.070804,-0.031223,-0.031223,-0.031223,0.96884,-0.051721,-0.051721,-0.034768,-0.034768,-0.034768,-0.0046374,0.0087528,0.0087528,0.011888,-0.00027724,0.035383,0.19847,0.020203,0.0054139,-0.98548,0.20503,0.15891,0.014609,-0.034902,-0.0069195,0.001803,0.001803,0.001803,-0.96445,-0.96445,0.00027728,-1.0059,-0.033132,1.1048,-0.066922,-0.035312,-0.035312,-0.035312,-0.0034627,-0.031223,-0.051721
"MMRF_1171",-0.028765,-0.014228,-0.014228,-0.014228,-0.014228,-0.015879,-0.015879,0.00097064,0.10512,0.10512,0.10512,0.10512,0.0084941,0.0084941,0.99302,0.99302,0.99302,0.99302,0.99302,-0.0076101,-0.0076101,-0.0076101,0.034254,0.084787,0.084787,0.084364,0,0,0.98887,0.94017,0.94017,-0.024388,-0.018902,-0.018902,0.96452,0.96452,0.96452,-0.017113,-0.018765,-0.0092249,-0.095489,1.922,1.922,1.922,-0.059269,-0.030404,-0.068261,-0.068261,-0.068261,-0.0059522,0.84514,0.84514,-0.038578,-0.038578,-0.038578,-0.026167,-1.0298,-1.0298,-0.028765,-0.028765,-0.028765,-0.015879,0.00097064,0.00097064,0.10512,-0.015741,0.021603,0.99302,-0.89251,0.084787,0,0,-0.066922,0.98887,-0.018902,0.96452,-0.017113,-0.018765,-0.018765,-1.0008,-0.97619,-0.0092249,-0.059269,-0.030404,-0.050918,-0.050918,-0.068261,-0.068261,-0.068261,-0.0059522,-0.038578,-1.0298
"MMRF_1354",-0.062666,-0.018665,-0.018665,-0.018665,-0.018665,-0.0085099,-0.0085099,0.0068022,0.93566,0.93566,0.95237,0.95237,0,0.0076016,0.95564,0.95564,0.90785,0.90785,0.90785,0.93259,0.93259,0.93259,0.93259,0.94286,0.94286,0.94501,0.0045425,0.0045425,0.95851,0.95851,0.78306,-0.015641,-0.013418,-0.050407,-0.023765,-0.023765,-0.023765,-0.72564,-0.016329,-0.0040536,-0.097399,0.94863,0.90467,0.90467,-0.069368,-0.069368,-0.12557,-0.081907,-0.06669,-0.010959,0.78171,0.78171,-0.055131,-0.055131,-0.19756,0.96365,-0.15439,-0.11786,-0.062666,-0.96102,-0.018665,-0.64079,0.0068022,-0.012199,0.95237,0,0,0.92852,0.1931,0.94286,-0.042689,0.0045425,-0.053243,0.95851,-0.98021,-0.023765,-0.72564,-0.016329,-0.016329,0.0050983,0.0050983,-0.0040536,-0.70713,-0.069368,-0.069368,-0.069368,-0.081907,-0.06669,-0.06669,-0.010959,-0.055131,-0.11786
"MMRF_1344",-0.01673,0.96402,0.96402,0.96402,0.94936,0.97585,0.95324,-0.0058109,0,0,0.96637,0.96637,-0.010508,-0.010508,0.95028,0.9674,0.9674,0.9674,0.9674,0.9897,0.9897,0.9897,-0.013402,0.96576,0.96576,0.9635,-0.012024,0.0025539,0.96019,0.96267,0.94568,0.95836,0.95836,0.95836,-0.011473,-0.011473,-0.011473,-0.012713,-0.012713,-0.0011087,-0.029524,0.96083,0.96083,0.96083,-0.033677,-0.02384,-0.030677,-0.030677,0.01447,0.95857,1.8525,1.8525,-0.024114,-0.024114,-0.024114,-0.016704,-0.037898,-0.037898,-0.01673,-0.01673,0.96822,0.95239,-0.0058109,-0.00027724,0.96637,-0.010508,-0.010508,0.9674,-0.71995,0.96576,-0.012024,0.0025539,-0.022469,0.96019,0.95836,-0.011473,-0.012713,-0.012713,-0.012713,-0.98097,-0.98097,-0.0011087,-0.033677,-0.02384,-0.02384,-0.02384,-0.030677,-0.04097,0.01447,0.9596,-0.024114,-0.037898
