patient_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MMRF_1231,0.6115634,2.3139067,1.1393036,0.91609484,0.03382235,0.25505695,0.100161806,-0.5160808,0.80323744,0.99256,-1.7973167,-0.56806684,-0.3375272,1.2003238,-1.1602391,0.7277823,-0.36375841,0.49044672,0.114683814,-1.8888093,-0.71067756,0.6821067,0.5816405,-1.870995,0.01691761,-0.88004196,-0.7254869,1.0994266,-0.8818351,0.06132435,-1.7689292,1.2156401,-0.19589569,0.73355156,-0.34886545,-1.4834559,-0.61042017,-1.7210081,-0.10012506,2.609956,-0.2971125,-0.049105257,0.6990672,0.450439,-1.4402274,-0.37610698,-0.1993891,-1.2382827,-1.9350909,-1.6536756,0.35531166,0.6474466,1.3821648,0.9514889,0.652738,0.8844405,-0.12904774,0.31347036,-0.119361185,1.9218189,0.16711341,-0.53654075,0.8047582,2.086557,-0.444164,0.20583199,-0.8008396,1.0158117,0.72782695,-0.81269294,-0.71885324,0.38348764,-0.20857766,-1.0133971,2.0650735,0.44894418,-1.2269672,-0.40324175,-0.4386583,1.5515901,0.50570345,-1.0639398,-0.80124664,-2.4918373,0.26965258,0.66082036,-1.1760341,0.70126873,-0.5580556,2.2296488,0.061300103,-0.5358747,-0.06324932,-0.13625234,-0.40320322,0.061380774,-1.0402931,-0.6123542,0.34791663,-0.93247646,-0.17572516,-0.4942268,-0.23851898,0.17761308,-1.3368872,0.4545039,-0.89964974,0.7447634,1.092644,0.14492084,0.0072390726,2.2776904,0.87073845,-0.67068595,0.3708033,-0.8197002,0.8422005,0.4233207,-1.9300085,-1.535467,-0.43767798,1.2187731,0.23950563,0.26711425,-0.15527326,0.26651555,0.04168223,1.8044579
MMRF_1032,-0.32914507,0.040516496,1.4329611,1.7325813,-1.542972,-0.78823113,-0.17288168,0.21923475,-0.88550466,1.2036927,-0.58637816,0.13899952,-0.599307,-0.090777114,1.2828002,0.1908106,-0.16604917,-0.23834461,1.0501647,0.2533005,1.0297781,-0.84675634,1.348209,1.2679504,-0.36009577,-0.20849606,0.59705687,0.5672966,0.74386644,1.1470159,0.46876085,-1.2487671,-0.9446627,0.16881633,-1.0362011,-0.40836343,-0.53125834,-0.7063168,-1.4007833,-0.29265928,-0.3640459,0.6727495,-0.96676344,1.4852675,-0.6794756,0.76659006,-1.2535299,-2.4148705,1.0479004,-0.26209784,-0.668434,-0.2056336,-1.2427973,-0.3250992,0.35512614,2.4228992,-0.9305305,0.5803609,-0.32819322,-0.062021952,-0.7548144,0.053390108,-0.82307833,0.15278304,1.1622714,-0.7668624,0.1674427,-0.7844743,0.58715004,0.57812625,-1.0174376,-0.16195907,0.39306548,-0.19729963,-0.329928,-0.39194924,-0.22978668,-1.0076396,-0.47534478,0.024652438,-0.64097804,1.0348197,-1.2257628,-1.9698744,-1.1740733,0.15930642,1.9641262,-1.1204473,-0.3070451,-0.28592438,-0.5673091,-0.10489562,-0.42262375,-0.17234437,-0.48847595,0.43693957,0.37599936,-0.09896121,1.0231514,-3.323151,2.2188735,1.1791713,1.4486448,1.110818,2.1394231,-0.3906413,-1.1493056,2.8357656,-0.429228,-0.15225405,0.9292018,-0.8185486,-0.99666476,0.15880668,-0.31614628,0.7996519,0.9593771,1.6849716,1.2077061,-0.10877082,0.6329318,-0.75566715,-0.34803036,-0.39143714,2.2435386,0.08189019,-1.868726,-0.25004527
MMRF_1327,0.7834724,-1.2050534,0.7630957,1.310782,-1.9857825,0.6502561,0.11025392,-0.5303925,-0.64004457,0.64142084,0.356706,1.2318358,-0.058640882,0.48429343,0.68374753,-1.953446,1.5514737,-1.7819592,0.35889643,-0.72336507,0.26856935,-0.49235407,-1.4342308,0.90790814,-0.3398758,0.8183243,0.009191314,-1.2421582,0.4382839,-0.13127062,-0.84182835,-0.5634245,-2.5533993,-1.299549,-1.3995012,0.962101,-0.0017111609,-1.0643317,0.8094456,1.3167244,-0.39917535,-0.17937762,1.1753991,-0.4711608,0.71846485,0.2883509,0.18339393,-0.30656794,-2.028741,0.7641871,-0.5992861,-0.1337877,0.057213284,-0.3694162,1.2585477,1.6071113,-1.0636352,-0.64310926,0.027542545,0.70751816,-1.8817796,-0.32833487,0.6340247,0.51852345,0.18907052,0.79288316,0.5227544,0.8842388,1.313625,0.244743,1.170852,-1.6186607,0.68661857,-0.5042651,-0.75549954,-0.010729825,0.37720188,-0.83797246,1.4265416,0.0041691717,-0.70258224,-1.3355983,-0.04276143,-2.8925636,0.7764088,-1.201362,0.48497835,0.58993024,0.16882406,-1.8885336,-0.8108344,-0.026583508,0.60974604,1.945777,-0.111208655,-0.6555749,0.384796,1.0926949,0.3529731,-0.12523586,0.067148134,0.64080334,0.83137655,0.7975623,2.8051867,-0.8287971,-0.64577085,-1.5351377,-0.13926198,1.1761748,0.69839865,-0.28917512,-0.49138567,-0.06874529,1.2926855,-0.83497816,0.8263255,0.10495362,0.03783826,-1.6510783,0.5342414,-1.0801576,0.91057366,0.36857885,2.4012022,0.4739242,0.39207783,-1.096463
MMRF_1210,-1.4261564,-0.3072217,1.158414,1.954095,-1.2256492,-0.8611076,0.5259468,0.7721026,-0.16753265,1.3057506,-0.3338442,0.45902395,-0.67311496,0.2004223,0.9198505,0.60598624,-0.4885353,-0.43550658,0.9286815,0.0536187,0.5546859,-1.8435787,1.2966868,1.4111133,-0.32055455,-0.18127464,0.032264203,-0.444195,1.1433374,1.0802898,1.3707268,-1.0246847,-0.29433745,0.26510766,-0.9082817,-0.4830314,0.54187703,-0.25346404,-0.8999569,0.1568233,-0.08358521,1.0272242,-0.64342856,0.22456928,-1.2187424,-0.4158239,-1.9784803,-3.5851133,0.43931672,-0.15700814,-0.6677275,-0.98600686,-2.228702,-0.10620449,0.7579885,1.1182779,-0.103891365,1.1280533,-0.7633182,0.096886,-0.037246518,0.0671469,-1.6774808,0.071888134,0.9770544,-0.4016191,0.40545905,0.03637286,1.2053334,0.31903756,-0.25890628,1.5269711,0.7217241,-0.26331234,-0.9578941,-0.8987115,-0.7890539,-1.2715572,-0.8899,0.76645625,-0.5567757,0.7374891,-0.99876624,-1.1961398,-0.21884143,0.10582556,1.9417048,0.050485365,-0.2036066,0.20958929,-0.08921457,0.6708492,0.253487,-0.12984651,-0.14116524,-0.6491917,0.98597586,-0.16398315,-0.35644284,-2.3519855,2.1243865,0.41554233,2.6243365,0.5641026,2.3916485,-0.049458355,0.5439052,1.2437837,-0.56222403,-0.71014094,0.63484764,-1.5296265,-0.8850677,1.5014688,-0.5504782,1.821282,0.9366223,1.6846769,-0.52684766,-0.0459403,-0.5719863,-0.8898372,-0.4006244,0.5910901,-0.37283427,-0.5489912,-1.247449,-0.79162616
MMRF_1269,-0.41451812,2.3774738,0.5699157,0.105709895,1.3978647,0.23144712,1.1426353,-0.6253123,0.5412524,0.6401948,-1.9630816,-0.87003404,-1.2348698,0.7526441,-1.5664353,1.6068217,-0.6255568,1.4602388,-0.49934563,-0.44913694,-1.9695147,0.7053307,1.6746284,-1.8671186,-0.6860464,-0.6173298,-1.4514936,1.5170715,-2.1709714,1.0923907,-0.51221246,1.6701131,1.5513318,0.7706787,-0.01721685,-1.081122,0.20410521,-1.6587105,-1.2694907,1.1077642,0.76551914,-0.86172366,0.7133045,-0.29561725,-1.0283264,0.48879158,0.36731118,-0.3572372,-0.9580496,-0.6260565,0.17214559,-0.21861163,1.2289859,0.99939275,-0.24997039,0.48630297,0.39558083,-0.094300725,-1.3446424,0.547745,0.6655936,0.07369489,0.22827558,1.1680268,0.07534901,-0.08212251,-0.8662563,0.79858875,0.98667985,-1.2724285,-0.007910974,1.0511439,-0.6400587,-1.1749979,1.3501273,0.97118807,-1.4506655,-0.34783208,0.45796758,1.242521,0.74730974,-0.20013174,0.06566604,-2.0255775,0.50406,0.22247347,-0.28315458,0.55487096,-0.9249216,1.9859946,0.07425357,-0.12966204,0.6642269,-0.8130097,0.45682392,0.018644284,-0.8073725,-0.66411465,-1.1436596,-0.39257815,-2.2504404,-0.161714,0.42770946,0.26025546,-1.6270216,1.4372636,0.7823489,0.57992697,0.51095015,-0.46075344,0.6202994,1.9458109,0.74194974,-0.20748489,-0.75250036,-0.5932371,0.022727886,0.10637054,-1.6989251,-1.6173415,0.6648063,0.89981663,-0.23439576,0.97382957,-1.7850355,0.14660311,-0.25153896,0.6365363
MMRF_1251,0.8137402,0.035042133,-0.37741956,-0.34299153,0.37197128,0.6095391,-0.07503861,0.44636235,-0.8721583,0.6358754,0.4640508,-1.419972,0.52720433,-0.48040327,0.010525519,2.3388183,1.0710561,1.223729,0.043683663,1.1310596,-0.5474966,1.4979197,0.26107466,-0.55382305,2.0693576,-1.2032503,0.85807186,0.35609493,-2.3367255,-1.0227898,0.94593227,-0.50500435,-0.3667873,-0.24035738,2.5367234,1.8513873,-0.7101516,-0.27563018,-0.71979564,-0.5300714,0.29920122,-2.0214412,1.6552825,-1.3386937,0.9264436,0.41195616,1.4944445,1.7857255,-0.123434454,-0.02887319,0.12276341,0.36898607,1.7984376,1.8862633,-1.0896391,0.1586796,-0.5498789,0.86527777,0.233813,0.4251607,-1.6005368,1.0150208,0.41367722,-0.041278373,-0.6050992,1.1357323,0.11967169,-0.9028071,-0.37388453,0.83835626,0.3293317,-0.28933606,-0.011571396,-0.35679823,-1.6858116,0.7168703,0.32385933,-1.7528254,-0.9291984,0.40366715,1.3994719,1.2809279,0.8723803,-0.067574285,1.1336514,-0.14502248,-1.032852,-0.1297389,-0.6276198,-0.693427,-1.7850251,-0.94779027,0.70074975,0.62754506,0.009990597,-0.88272494,-1.7413554,-0.08136912,0.1037262,1.1439333,-2.2188482,1.0525533,-0.7922024,0.8250309,-1.9292215,-0.08593332,-1.0754145,-1.0515176,-0.50298065,-1.359005,-0.216267,0.46730152,0.31980503,-0.6466574,-1.0390626,-0.9344516,-1.3676425,0.19530647,0.5964108,0.016669288,0.9730082,0.88244796,-0.23837782,-0.47596437,-1.7543577,-0.72444373,-0.3876607,0.6855789
MMRF_1328,0.70012265,1.0599505,-0.47230694,0.10232833,-0.16834307,-0.15150584,-0.29199693,1.9550242,0.8063159,0.99175394,-0.23431724,0.6344297,-0.039815716,-0.842345,-0.38170403,-0.71810615,0.06177295,0.89057493,0.09467786,-0.33117515,-2.5188441,-0.677812,1.2209287,-1.520167,0.08827885,-0.95269316,-1.0976174,0.7202604,1.0669953,-0.6010002,-0.09946555,2.1564755,-0.24881078,-1.1009427,0.9299555,0.20189238,1.307146,-0.68801594,0.365949,1.7222512,0.5894466,-1.3334942,1.416962,0.38412952,1.4198772,1.3472658,-0.9477637,-0.3614078,0.8843067,-1.2048144,0.4570967,-0.7610574,-0.76423514,1.1236144,-1.4066674,-1.6084579,-0.25378224,0.81910044,-0.5813921,0.82178915,1.2138168,1.3454566,0.91172415,-1.6922914,-0.35966763,0.8273011,0.775595,-0.3232909,-1.3042247,-0.08470498,0.9552577,1.0849478,0.103898846,-0.5701741,0.22992635,1.9796768,0.1797604,-0.37149027,-1.2355918,1.3158034,-0.4397592,0.122598685,1.0827606,0.9237268,-0.7753336,1.0827384,-0.80063105,-0.31938148,0.799481,1.5994931,-0.43730852,1.0564187,1.117036,0.36021477,-0.563788,-1.2336278,-1.2444178,1.165176,0.82703704,-1.1832935,-0.571463,-1.7072835,-0.10652119,-0.009620442,-2.0825675,-0.06185069,-0.36898425,-2.4123564,-0.7974757,-0.26967394,-0.51470846,1.2142103,-0.07341096,-0.11314007,-0.87607324,1.7972658,-2.0143125,0.5255069,-0.9890257,0.6394643,-0.2832429,-0.20803459,-1.1591425,-0.5624435,-2.196251,0.7814502,-0.17004555,0.37144983
MMRF_1171,-0.17294343,-0.78314906,-0.77044517,-0.2039535,1.6957728,-0.39327025,0.35773283,1.1834439,-0.13812624,-1.6855181,0.36190572,1.6558692,-0.42304263,-0.2829422,-0.11916447,-0.479165,-1.1681404,-0.17982338,1.3544843,1.6615748,1.8656753,0.47170654,-2.5630336,1.7635528,1.8481557,1.0483001,0.16270265,0.65477234,0.72762173,-0.571029,0.35485667,-0.89356554,-1.9005057,-0.1858982,0.755142,0.11851782,1.595752,1.8267205,-1.8865097,-0.66216403,-1.1580715,-1.0982704,0.3537703,-0.69793457,-0.5031563,0.38254127,0.67503315,-0.08125442,-0.051339097,-1.0656569,-0.7102282,-0.07891695,-1.6393007,0.52516645,1.7687112,-1.9256998,-0.4151488,-0.12463735,-0.5573614,-1.978077,0.9490876,-0.2791625,-1.9772419,-0.54032975,-0.40407312,-0.2805817,-0.43826923,-0.31255826,0.056060754,0.5667603,-1.0459306,0.10172721,-0.96806175,0.35571244,-0.94588995,1.1572988,0.5424042,1.144039,0.4783421,-0.52079225,0.3973894,-0.52512676,0.15808298,2.344661,-0.6874327,-0.50170517,0.070416465,-1.093906,-0.5008206,-0.6742325,1.7316626,-0.9317193,0.37398183,-0.7552263,-0.50415176,0.76674604,0.26739624,-0.55593973,0.5981592,0.047540873,-0.013333684,1.0638275,1.077253,-0.87052035,-0.87835026,1.2294796,1.7603173,0.3963328,-0.005658934,1.1341256,0.46732253,-2.0002642,-0.84618974,0.4211991,0.696551,1.179709,-0.7202729,-1.9450703,1.5212084,-0.7041069,0.021758236,0.81977284,0.5512006,0.50378615,-0.56462616,-0.2842966,1.4540939,-0.80942535
MMRF_1354,-0.33802587,-0.24059929,-1.1935631,-1.5335428,-0.053333662,-0.8662989,-0.896916,0.056562413,-0.26719928,-0.9970384,1.8369855,-1.5606573,0.86111283,-1.0214727,0.8687249,-0.20504454,-0.2561734,1.4545242,-1.0912771,1.0111977,-1.1272876,1.6566774,-0.60933,-0.70518064,0.7648864,0.5565901,1.4144969,-0.43600416,0.42061704,0.3896726,-0.09690835,-0.22714487,0.47078514,-0.6279349,1.9093564,-0.010987882,-1.5985144,2.24431,-0.82020307,-2.049402,1.0188034,-0.7129578,-0.770722,-0.4376248,0.22041664,0.28800467,0.5088146,1.9074931,0.94817203,1.8700429,-0.6056804,0.31101558,-1.4726862,1.1022805,-0.14006425,-1.7247379,0.9207664,-0.10485152,1.7640235,-1.5980248,0.1052139,0.13406311,1.3628628,-0.5742821,0.4451649,-0.47257864,-1.0223632,-1.1378139,-0.86660296,0.39937425,-0.6726704,-0.49435768,-0.3429453,-0.6068052,-0.65784115,-0.3074884,0.4002971,0.21579084,0.028229931,-0.3982137,0.3932999,2.2459953,0.2712721,1.8084134,-0.46657464,0.06108462,-0.937133,-0.7445421,0.7647679,1.7750663,0.2192651,-1.0623292,-1.3436248,-1.0994288,0.11552147,0.66540086,0.17535818,-0.13832735,0.22733723,-0.11049248,-0.8012174,-0.32541388,-0.22391754,-0.4154376,-0.66766477,-0.26784787,-0.9601969,0.814272,1.1206187,-1.5329467,-1.9627397,-0.21377718,-0.87716615,1.3867272,-0.19048385,1.8570429,-0.5078728,0.77239203,2.6913745,1.2668529,1.1397297,1.059366,0.19502234,0.6594951,-1.3237735,-0.90827805,-0.26539668,-0.31308672
MMRF_1344,-0.56472284,-1.973926,-1.2157196,0.69887066,-0.42628378,-0.39241236,-0.6903872,0.8657522,-0.39453384,0.24275728,-0.053112794,1.0582556,-0.092579134,0.4032375,2.2098339,0.28117523,0.61561036,-0.47073457,-1.6125314,-0.32048595,-0.19731873,-1.1423075,0.22535199,1.064381,-1.8414071,-0.856115,-0.7053447,-0.9420989,1.7936424,1.2493734,0.78464437,0.9776594,0.824328,-0.5610835,-2.1000397,-0.39507702,0.7972551,-0.3312892,1.2929562,-0.9403274,0.09717848,0.17770493,0.5987097,0.68492645,0.059532687,-1.9878684,-1.5084329,-0.9158817,2.0023274,0.97729254,0.17517711,-0.016142447,-0.5508828,-1.6322107,-0.34893042,0.35198447,0.36504316,-0.43574345,1.2887002,-0.23981154,0.62348914,0.8679858,-0.50988656,-0.84834284,1.0959859,-0.10596002,1.082779,-0.37113252,-0.21770836,0.9451791,1.086765,1.0466697,0.7268316,-0.89837426,-0.55476326,-0.77487576,-0.32202667,-0.58869535,0.5831157,0.3373616,-2.1229544,0.35465553,-0.09949986,-0.6608579,0.11881683,0.58792096,1.1034446,-0.23890771,0.77378124,-0.4859169,0.88181585,1.7689956,-0.3909531,0.26428303,0.9471717,-0.19302587,0.9993758,1.0209666,0.6130863,-0.8258779,3.0139832,0.5423407,-0.22717473,-0.94410044,3.1832423,0.46051437,-0.46637478,-1.9723694,-1.8423443,0.5974191,-0.12983234,-1.0562214,-0.55797523,0.39928314,-0.27644047,0.3795226,0.06729229,0.13897218,-0.66103417,0.36709076,0.22662094,-1.2508951,-0.52331424,0.40727717,-0.12252523,0.40402693,-2.6006386,-1.5435287
